"Species href","Species-common","Species-sci","Obs-count","Icon href","is-visuallyHidden 2","Obs-date href","Obs-date","is-visuallyHidden 3","Obs-observer","is-visuallyHidden 4","Obs-location-name","Obs-location-name href","Icon href 4","is-visuallyHidden 5","is-visuallyHidden 6"
"https://ebird.org/species/clanut/US-OR-051","Clark's Nutcracker","Nucifraga columbiana","4","[object Object]","Date:","https://ebird.org/checklist/S50321356","13 Sep 2005","Observer:","Wink Gross","Location:","Larch Mountain","https://ebird.org/region/L447386?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/larspa/US-OR-051","Lark Sparrow","Chondestes grammacus","1","[object Object]","Date:","https://ebird.org/checklist/S266177901","31 Aug 2005","Observer:","Oregon Birds Historical Data","Location:","Marine Drive","","[object Object]","Show details","Details:"
"https://ebird.org/species/casfin/US-OR-051","Cassin's Finch","Haemorhous cassinii","1","[object Object]","Date:","https://ebird.org/checklist/S10228380","29 Jun 2005","Observer:","Wink Gross","Location:","Pittock Mansion","https://ebird.org/region/L447392?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/bkbmag1/US-OR-051","Black-billed Magpie","Pica hudsonia","2","[object Object]","Date:","https://ebird.org/checklist/S32587804","23 Jun 2005","Observer:","Andy Frank","Location:","Black-billed Magpie","","[object Object]","Show details","Details:"
"https://ebird.org/species/bawwar/US-OR-051","Black-and-white Warbler","Mniotilta varia","1","[object Object]","Date:","https://ebird.org/checklist/S10228362","5 Jun 2005","Observer:","Wink Gross","Location:","Pittock Mansion","https://ebird.org/region/L447392?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/bknsti/US-OR-051","Black-necked Stilt","Himantopus mexicanus","3","[object Object]","Date:","https://ebird.org/checklist/S30748598","25 Apr 2005","Observer:","Andy Frank","Location:","Vanport Wetlands","https://ebird.org/region/L714063?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/brespa/US-OR-051","Brewer's Sparrow","Spizella breweri","1","[object Object]","Date:","https://ebird.org/checklist/S266179070","11 Apr 2005","Observer:","Oregon Birds Historical Data","Location:","Sandy River Delta Park","https://ebird.org/region/L728130?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/btbwar/US-OR-051","Black-throated Blue Warbler","Setophaga caerulescens","1","[object Object]","Date:","https://ebird.org/checklist/S50308153","30 Nov 2004","Observer:","Wink Gross","Location:","Bonneville Fish Hatchery","https://ebird.org/region/L1090683?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/mouchi/US-OR-051","Mountain Chickadee","Poecile gambeli","6","[object Object]","Date:","https://ebird.org/checklist/S266177401","22 Nov 2004","Observer:","Oregon Birds Historical Data","Location:","Bonneville Dam","","[object Object]","Show details","Details:"
"https://ebird.org/species/ancmur/US-OR-051","Ancient Murrelet","Synthliboramphus antiquus","1","[object Object]","Date:","https://ebird.org/checklist/S50227546","8 Nov 2004","Observer:","Steve Nord","Location:","Eagle Creek Fish Hatchery Overlook","https://ebird.org/region/L1119817?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/yebloo/US-OR-051","Yellow-billed Loon","Gavia adamsii","1","[object Object]","Date:","https://ebird.org/checklist/S30962160","30 Oct 2004","Observer:","Andy Frank","Location:","Eagle Creek Fish Hatchery Overlook","https://ebird.org/region/L1119817?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/norwat/US-OR-051","Northern Waterthrush","Parkesia noveboracensis","1","[object Object]","Date:","https://ebird.org/checklist/S32613418","29 Oct 2004","Observer:","Andy Frank","Location:","Northern Waterthrush","","[object Object]","Show details","Details:"
"https://ebird.org/species/comgra/US-OR-051","Common Grackle","Quiscalus quiscula","1","[object Object]","Date:","https://ebird.org/checklist/S9008969","23 Oct 2004","Observer:","Jay Withgott","Location:","JW-SM Yard","","[object Object]","Show details","Details:"
"https://ebird.org/species/eucdov/US-OR-051","Eurasian Collared-Dove","Streptopelia decaocto","1","[object Object]","Date:","https://ebird.org/checklist/S46527541","29 May 2004","Observer:","Oregon Bird Records Committee OBRC","Location:","Portland","","[object Object]","Show details","Details:"
"https://ebird.org/species/smilon/US-OR-051","Smith's Longspur","Calcarius pictus","1","[object Object]","Date:","https://ebird.org/checklist/S97380481","17 Oct 2003","Observer:","Oregon Bird Records Committee OBRC","Location:","Portland - North Leadbetter Road","","[object Object]","Show details","Details:"
"https://ebird.org/species/blkter/US-OR-051","Black Tern","Chlidonias niger","1","[object Object]","Date:","https://ebird.org/checklist/S247449995","10 Sep 2003","Observer:","Oregon Birds Historical Data","Location:","Vanport Wetlands","https://ebird.org/region/L714063?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/pingro/US-OR-051","Pine Grosbeak","Pinicola enucleator","3","[object Object]","Date:","https://ebird.org/checklist/S40488119","1 Sep 2003","Observer:","Ken Vanderkamp","Location:","Elowah Falls and trail","https://ebird.org/region/L4839445?rank=lrec","[object Object]","Show details","Details:"
